LeagueIndex,Age,HoursPerWeek,TotalHours,APM,WorkersMade
Diamond,35,12,800,115.0644,0.0018831
Diamond,22,6,500,104.5386,0.000681
Silver,20,20,220,74.5098,0.0011767
Platinum,22,12,300,149.7372,0.0012587
Gold,23,50,700,53.2722,0.00062804
Silver,29,6,200,96.3924,0.00083198
Diamond,19,8,500,78.8736,0.00070079
Bronze,17,14,100,73.7232,0.00033419
Gold,16,8,200,116.4156,0.00068571
Silver,21,6,848,75.5562,0.00067295
Platinum,21,12,200,127.9884,0.00085345
Diamond,22,10,500,155.2386,0.0020175
Master,18,10,700,151.977,0.00096779
Diamond,16,20,1000,130.4004,0.00076345
Gold,17,28,300,112.8102,0.00074014
Diamond,20,14,1000,96.897,0.00078232
Platinum,18,42,730,67.0164,0.00063406
Gold,24,16,256,69.3924,0.00064503
Diamond,18,10,730,135.7326,0.0012117
Gold,17,8,400,94.158,0.0022017
Diamond,21,20,750,122.232,0.0012657
Diamond,19,10,325,132.2094,0.0013682
Platinum,19,8,250,66.9858,0.00074627
Master,22,24,1250,121.7802,0.0010464
Master,20,6,650,101.0706,0.0011696
Gold,16,14,600,102.4686,0.0012185
Gold,16,12,300,122.2992,0.001018
Silver,21,18,500,46.4196,0.00093676
Gold,20,12,500,52.2006,0.00080661
Platinum,22,12,130,111.9282,0.00075016
Platinum,16,14,600,138.6918,0.0007098
Master,17,8,500,197.013,0.0026431
Silver,25,8,30,57.2274,0.00090253
Platinum,18,12,350,108.2124,0.0024559
GrandMaster,18,24,500,172.3362,0.0009201
Diamond,21,8,200,121.26,0.00076027
Diamond,24,6,700,132.4146,0.00061411
Master,16,168,1260,233.3058,0.0010273
Diamond,19,36,1500,133.8234,0.001134
Silver,21,4,180,64.2906,0.00045438
Bronze,20,20,900,100.518,0.00059812
Diamond,21,30,1500,68.2158,0.0010602
Diamond,18,16,900,108.3132,0.0023294
Diamond,25,2,300,144.3894,0.0025178
Platinum,17,20,250,51.6072,0.00031004
GrandMaster,19,28,1466,234.7176,0.0031911
Master,22,20,750,99.072,0.0010812
Platinum,17,12,100,103.503,0.0019997
Diamond,21,12,1000,123.204,0.00072022
Diamond,23,20,700,133.4292,0.0022758
Platinum,22,14,400,125.4498,0.00059887
Platinum,20,6,200,78.7764,0.00069538
Platinum,19,28,540,194.3676,0.0017634
Diamond,27,10,500,175.0146,0.0021042
Bronze,16,6,670,56.6298,0.00050751
Diamond,18,28,711,145.8528,0.00087209
Diamond,24,8,300,128.0394,0.00086494
Silver,16,14,100,79.5906,0.00079678
Master,21,10,700,138.2934,0.0027233
Platinum,16,70,2500,105.456,0.00068472
GrandMaster,23,56,2400,136.2432,0.0011178
Gold,24,10,400,55.9452,0.00053712
Platinum,28,12,600,147.8922,0.0008907
Platinum,20,48,1030,83.0166,0.00029931
Diamond,23,8,300,173.355,0.0019123
Platinum,29,12,600,120.2772,0.0020882
Platinum,20,2,50,66.9522,0.00050899
Master,18,10,300,106.02,0.0013383
Bronze,38,16,300,71.595,0.001414
Gold,19,24,350,115.3236,0.0018889
Platinum,23,12,730,133.4454,0.00087863
Gold,18,10,300,85.578,0.0015685
Diamond,25,6,250,135.474,0.00095482
Diamond,21,10,350,112.6914,0.0025208
Gold,22,28,800,89.5602,0.0011918
Gold,30,8,800,62.259,0.0006405
Diamond,16,20,1080,211.9662,0.0014896
Gold,27,14,300,106.695,0.00069532
Master,28,28,800,127.2792,0.0009814
Silver,19,12,730,64.1664,0.00072876
Platinum,35,10,400,92.736,0.00092469
Master,16,28,730,389.8314,0.0020669
Gold,17,16,400,131.4708,0.001201
Diamond,19,8,900,117.2712,0.0015748
Silver,18,6,180,74.733,0.0024423
Gold,23,2,200,83.748,0.00069426
Master,18,20,800,229.8018,0.00074484
Platinum,20,20,500,123.9924,0.00062286
Platinum,22,12,300,90.183,0.00081513
Platinum,19,20,550,159.2346,0.00088609
Diamond,17,8,600,144.969,0.002074
Diamond,21,20,1000,106.4364,0.00054029
Bronze,16,20,500,55.8648,0.00039314
Diamond,25,8,600,109.023,0.0006135
Master,21,12,700,178.8606,0.0011287
Diamond,23,24,1460,141.6744,0.0008586
Platinum,20,50,600,109.3722,0.0021145
GrandMaster,19,56,500,129.9048,0.00083506
Silver,24,16,100,79.9734,0.0010247
Diamond,21,16,1100,93.4458,0.00079331
Master,20,56,1050,144.381,0.00098754
Diamond,17,24,800,133.29,0.0024846
Platinum,21,30,400,161.3964,0.00058759
Master,20,10,350,118.7484,0.0010664
Silver,17,70,1000,87.9894,0.0010474
Master,16,28,700,229.2942,0.0010022
Gold,22,24,700,84.9726,0.0014805
Silver,23,6,600,54.366,0.00067746
Diamond,20,4,400,113.613,0.00083929
Platinum,21,12,400,162.0864,0.0018281
Silver,22,10,80,51.1098,0.00034189
Silver,19,12,600,60.426,0.00035673
Bronze,26,2,100,48.4494,0.00055254
Platinum,18,16,800,106.2804,0.00060052
Gold,17,8,540,152.7588,0.00086124
Silver,30,8,600,72.9954,0.00094506
Platinum,35,20,800,53.6736,0.00081384
Diamond,22,16,20000,248.049,0.0015256
Diamond,23,16,150,133.6044,0.00066986
Gold,22,8,600,141.075,0.001283
Master,18,20,500,127.6164,0.0008478
Silver,27,8,50,84.489,0.00063236
Diamond,18,28,600,136.7316,0.00074882
Diamond,16,28,300,89.748,0.00060925
Platinum,22,12,600,141.018,0.00083307
Master,16,20,780,124.6896,0.00077991
Gold,28,4,450,45.1164,0.00048719
Platinum,19,8,400,70.9998,0.00058594
Master,22,36,2000,257.811,0.00057737
Diamond,27,16,300,165.6168,0.0010611
Diamond,16,24,730,184.503,0.00056189
Silver,19,30,200,56.8998,0.00050806
Diamond,16,28,582,193.5834,0.0016306
Diamond,24,6,750,155.0778,0.001134
Diamond,17,42,300,93.6078,0.00076496
Diamond,21,8,400,67.869,0.0009332
Diamond,22,42,2800,190.7448,0.0023191
Master,22,42,1200,192.6966,0.00077869
Diamond,29,28,900,99.1128,0.0012533
Diamond,25,10,600,106.2276,0.00083344
Diamond,22,14,350,87.9756,0.00048761
Silver,16,14,730,92.43,0.001752
Platinum,20,30,250,106.068,0.0010658
Diamond,22,12,500,103.4364,0.0013785
Platinum,20,2,500,136.6464,0.0021534
Gold,33,6,300,57.5424,0.00086721
Gold,27,12,500,100.7694,0.00081997
Gold,18,36,800,82.8966,0.0008546
Platinum,19,16,300,103.629,0.0012765
Diamond,22,28,1000,134.0784,0.0010612
Platinum,17,12,400,114.2796,0.0013126
Platinum,19,4,200,75.7914,0.0004143
Gold,18,10,500,104.1048,0.00071528
Platinum,23,10,650,72.618,0.00051526
Master,18,30,220,156.972,0.00086356
Diamond,19,10,553,131.5122,0.0018622
Gold,17,12,670,106.9536,0.0016492
Diamond,24,8,800,75.6648,0.0007677
Master,22,20,1200,120.1206,0.0011698
Platinum,26,12,1008,135.3366,0.00057215
Diamond,21,2,200,65.238,0.00070573
Gold,21,8,600,96.3282,0.0011728
Platinum,28,12,700,80.3766,0.00067537
Gold,23,20,140,97.4982,0.0010983
Diamond,23,8,1000,133.2948,0.0014305
Master,21,20,1500,170.7486,0.0010201
Platinum,23,10,600,88.8612,0.00069759
Diamond,20,6,450,155.5416,0.0015758
Master,24,36,2000,165.2772,0.0012259
Diamond,22,4,200,111.9126,0.00086304
Gold,25,4,330,66.7788,0.00054397
Platinum,25,30,2200,93.9396,0.001032
Platinum,22,8,300,113.6742,0.00091722
Platinum,31,8,730,67.8468,0.00046748
Master,22,12,700,154.1286,0.0020524
Gold,20,8,100,78.525,0.00084433
Diamond,25,6,300,107.7252,0.0009281
Diamond,17,42,1800,149.19,0.00098028
Diamond,17,14,1000,122.3022,0.0020269
Diamond,19,12,500,91.7808,0.0009103
Diamond,22,36,1200,99.9396,0.00077856
Platinum,19,16,600,73.3116,0.00076231
Bronze,35,14,50,32.8884,0.00047097
Diamond,20,20,1000,175.2834,0.00068143
Master,19,36,1500,184.6338,0.0021758
Platinum,19,20,600,108.4356,0.0011287
Master,19,28,900,168.96,0.001154
Master,18,20,650,124.7178,0.00066983
Silver,18,2,200,78.2244,0.0018916
Platinum,26,18,936,102.1854,0.00087981
Platinum,22,6,730,62.2398,0.00080116
Silver,20,16,450,56.5518,0.00073829
Diamond,17,28,400,133.305,0.0011832
Diamond,28,10,400,135.4368,0.0010401
Master,17,24,850,215.706,0.0010976
Diamond,17,20,700,122.451,0.0012698
Platinum,18,28,500,95.0922,0.00062891
Diamond,26,6,350,163.2738,0.00071633
Gold,18,10,300,99.705,0.0010689
Silver,17,14,243,52.3722,0.00067539
Platinum,25,12,280,95.754,0.00051834
Master,18,20,700,173.2314,0.00097887
Diamond,18,20,500,82.0194,0.00073559
Gold,19,30,1000,99.207,0.0011141
Gold,20,8,200,65.9718,0.001241
Master,23,28,900,124.1148,0.00099898
Platinum,21,8,450,130.9572,0.0012792
Gold,20,20,400,119.1078,0.00042676
Diamond,17,42,1320,91.5216,0.00096464
Master,23,8,4000,142.7916,0.00068517
Platinum,24,10,300,61.2018,0.0007729
Diamond,19,20,730,136.7616,0.00068573
Gold,24,14,300,91.221,0.00072406
Master,19,56,2000,186.2586,0.0014057
Diamond,19,16,730,183.4848,0.00077575
Master,19,24,1000,132.9258,0.00075126
Master,22,42,1460,134.2086,0.0020523
Master,20,28,800,230.0214,0.0021357
Diamond,20,28,450,99.5286,0.00083107
Bronze,24,10,300,54.045,0.0004731
Diamond,22,6,200,76.611,0.00049956
Diamond,21,16,780,103.1706,0.00056062
Diamond,25,14,730,112.9272,0.00063507
Master,20,28,400,136.3812,0.0010095
Gold,17,6,450,146.9388,0.00081967
Diamond,21,16,400,173.0568,0.00055291
Master,24,16,450,208.695,0.001407
Master,21,36,1200,164.5494,0.0018369
Platinum,22,12,1000,62.943,0.0010444
Silver,21,14,250,82.374,0.00059136
Gold,21,4,100,59.3184,0.00035471
Diamond,18,56,1650,184.2078,0.0014046
Diamond,23,56,1200,100.1874,0.0018857
Diamond,19,20,425,117.318,0.00078895
Silver,16,20,100,30.9402,0.00063307
Platinum,24,14,700,79.2696,0.0005478
Gold,34,8,200,58.9332,0.00093325
Platinum,21,4,100,66.3678,0.00094508
Gold,35,4,150,47.6058,0.0010107
Master,27,28,1300,191.2926,0.00060633
Diamond,20,28,1500,186.4278,0.00087518
Diamond,21,6,200,111.5274,0.0008952
Master,22,84,800,250.299,0.00084866
Platinum,23,12,450,142.5444,0.00070219
Diamond,23,42,2000,249.3198,0.00077498
Diamond,22,14,1000,136.4202,0.001746
Platinum,20,24,1145,174.627,0.00083461
Silver,22,20,700,94.0836,0.00068674
Diamond,20,12,700,91.773,0.0012072
Diamond,25,8,350,86.4678,0.0018795
Silver,17,16,650,80.6232,0.00059394
Gold,29,10,366,72.7032,0.0016786
Platinum,18,8,500,154.7022,0.0010762
Platinum,24,28,600,69.9984,0.00046974
Silver,23,4,800,63.7386,0.0011994
Master,19,14,600,129.6288,0.0019611
Diamond,24,6,700,72.459,0.00094177
Gold,22,4,400,158.3544,0.0012682
Platinum,23,10,300,80.2752,0.0011597
Master,20,20,1260,187.6308,0.0008766
Platinum,17,30,450,72.2124,0.0011147
Platinum,20,6,400,93.567,0.0017625
Diamond,21,12,450,147.588,0.0016038
Silver,22,12,100,67.8552,0.00074079
Diamond,17,10,300,156.7506,0.00096831
Diamond,22,20,800,155.4156,0.0013534
Silver,16,42,900,65.6202,0.00092519
Silver,43,10,730,86.0586,0.00063071
Master,21,20,800,178.2396,0.0025685
Master,20,24,900,156.5256,0.00069105
Diamond,28,20,730,111.5724,0.0015127
Bronze,18,2,80,39.8712,0.00031726
Diamond,18,14,800,110.7012,0.00043215
Master,20,28,900,193.8072,0.0009007
Platinum,23,14,900,82.7364,0.00082323
Master,22,6,750,154.4874,0.0016997
Master,30,28,1500,123.3774,0.0011575
Diamond,18,10,300,111.1386,0.00079728
Master,20,8,500,241.992,0.00081528
Diamond,16,10,800,116.5392,0.00078433
Diamond,18,28,700,157.6536,0.00094378
Platinum,19,10,300,92.7486,0.0012808
Diamond,24,8,400,147.6786,0.0013029
Gold,16,12,650,73.677,0.0012764
Gold,21,2,200,72.5712,0.00092156
Platinum,21,16,2700,96.4116,0.00086588
Gold,22,20,500,110.5272,0.0012133
Diamond,21,28,730,144.4626,0.00085279
Gold,21,20,100,88.0062,0.0013405
Silver,18,20,180,91.8954,0.00094498
Platinum,18,8,650,209.8026,0.0016432
Platinum,20,6,150,61.9542,0.00060409
Silver,20,12,400,103.2642,0.0014002
Silver,24,10,60,71.7522,0.0019771
Master,23,36,2000,124.098,0.00088718
Platinum,20,12,750,71.7912,0.00065427
Silver,17,8,40,37.3692,0.00057358
Master,19,24,1000,140.874,0.00065914
Gold,25,14,500,104.1798,0.0012961
Diamond,27,6,200,143.4288,0.0007421
Gold,26,12,800,64.548,0.00086457
Gold,27,20,700,52.869,0.00057015
Master,21,24,730,155.502,0.00062427
Gold,22,16,800,85.2612,0.00096335
Diamond,19,14,200,109.7646,0.00097428
Master,20,12,600,213.3366,0.0040254
Platinum,18,8,400,72.1902,0.00065411
Platinum,27,8,500,97.842,0.00078471
Master,23,24,1400,311.0094,0.00074671
Master,16,28,1500,109.5564,0.0012263
Master,17,20,1000,137.685,0.00073978
Silver,34,8,600,73.743,0.00074969
Platinum,28,12,100,63.3156,0.00081956
Diamond,25,4,830,175.2924,0.00062169
Diamond,18,8,750,181.881,0.0012226
Gold,18,6,200,52.9224,0.00088996
Diamond,29,28,1000,90.228,0.0010737
Diamond,16,24,500,158.3616,0.002409
Gold,18,20,600,79.6956,0.0016932
Master,17,28,700,214.8654,0.0018598
Master,21,12,1000,119.499,0.00045803
Platinum,19,8,120,50.838,0.0010805
Diamond,21,28,1200,131.4936,0.0013477
Gold,16,28,3,69.5748,0.00055008
Master,24,10,550,197.07,0.0018068
Platinum,16,24,350,129.3876,0.00087662
Master,20,24,1100,206.6238,0.0019464
Diamond,20,8,700,111.2382,0.0022542
Platinum,17,10,350,151.65,0.0023045
Master,24,36,2000,131.3226,0.00090334
Gold,17,14,360,112.1214,0.001107
Diamond,26,8,500,67.332,0.00057221
Master,26,12,450,136.6296,0.0019928
Silver,17,6,800,71.4978,0.00078911
Diamond,20,20,70,98.4912,0.0011593
Diamond,26,8,800,164.571,0.0014373
Platinum,24,14,700,72.2544,0.00070444
Gold,32,12,200,52.3182,0.00073484
Gold,17,8,125,87.4092,0.00081392
Master,24,56,2300,165.303,0.00087004
Diamond,19,24,800,158.0754,0.0018731
Platinum,16,4,1000,118.3608,0.00059462
Gold,26,10,1000,72.9042,0.00064552
Diamond,19,14,1000,130.7874,0.0013631
Master,21,28,1500,178.3326,0.001001
Gold,22,20,800,77.5146,0.00069282
Diamond,25,14,400,88.4334,0.0011049
Master,21,28,1300,103.8936,0.0014314
Platinum,28,8,600,63.6066,0.00086217
Gold,29,6,1000,38.7666,0.00067492
GrandMaster,22,28,1250,143.7066,0.0010356
Platinum,22,20,750,114.8028,0.0007859
Master,20,20,730,134.61,0.00098425
Diamond,27,6,600,107.7972,0.0010028
Diamond,27,10,1000,152.9214,0.00093502
Master,17,14,750,161.6112,0.00065886
Master,19,28,550,162.6486,0.00094567
Platinum,20,6,200,80.8956,0.00063369
Master,17,6,500,191.5086,0.0020968
Master,22,12,1000,169.4076,0.0029882
Diamond,22,6,300,146.9736,0.0012625
Diamond,21,20,800,109.8738,0.00086967
Platinum,24,10,800,126.9336,0.0010301
Master,22,20,700,132.6198,0.0014092
Platinum,22,20,300,121.2762,0.0012299
Diamond,17,20,750,117.6066,0.0012632
Platinum,24,10,336,83.2626,0.00075519
Platinum,18,2,400,73.7772,0.00082016
Diamond,16,10,800,151.8942,0.00101
Diamond,17,8,300,61.1094,0.00060324
Gold,17,24,600,69.7362,0.00087006
Platinum,22,6,800,106.2234,0.0013773
Gold,19,14,90,109.4916,0.0010695
Gold,16,6,200,91.3188,0.0012867
Diamond,25,20,1000,155.262,0.00045007
Diamond,19,12,800,149.9052,0.0014058
Diamond,25,12,700,105.0456,0.0007802
Silver,26,20,650,88.5954,0.00026521
Platinum,18,10,500,113.2068,0.0013894
Silver,16,24,900,82.5966,0.00056912
Platinum,25,6,250,91.7862,0.0014547
Silver,19,4,24,70.1142,0.00080679
Diamond,24,16,1000,121.848,0.001309
Silver,22,42,150,94.0596,0.00099568
Master,16,0,365,86.1174,0.0019165
Bronze,18,24,900,46.5588,0.00058569
Silver,16,20,100,53.5938,0.00083377
Silver,22,8,12,39.2142,0.00048709
Bronze,16,8,72,70.41,0.00071302
Platinum,23,6,150,133.5432,0.0013915
Silver,18,28,690,94.2102,0.00092372
Diamond,24,6,300,101.7954,0.00062164
Diamond,18,8,120,58.101,0.00040137
Master,24,24,700,87.3768,0.0014439
Platinum,18,2,300,105.609,0.00053579
Platinum,21,16,500,96.3294,0.0011103
Gold,28,8,320,56.9916,0.00078495
Silver,16,72,144,74.52,0.00062756
Bronze,21,8,500,47.9412,0.00062486
Gold,25,8,400,48.4512,0.00062072
Silver,37,30,125,49.896,0.0002473
Bronze,20,10,20,48.1542,0.00048969
Diamond,20,8,730,109.7706,0.0010531
Gold,19,20,750,100.1742,0.0010945
Diamond,17,8,400,106.4778,0.0013469
Master,19,14,500,244.8762,0.00086725
Platinum,22,30,500,75.114,0.00051926
Master,16,20,650,88.6158,0.00094538
Platinum,30,12,800,58.0584,0.00072233
Gold,21,10,500,62.9298,0.00096981
Bronze,18,8,150,84.5352,0.00067789
Gold,21,8,150,93.0348,0.00094537
Diamond,22,16,800,125.6172,0.0014002
Platinum,18,12,400,85.224,0.00043066
Platinum,18,8,450,169.0749,0.00040705
Master,21,28,1155,149.2314,0.00097147
Gold,23,6,400,103.0074,0.0010934
Diamond,20,20,1700,254.5392,0.0009861
Gold,16,24,500,74.0214,0.00074855
Gold,24,28,360,189.465,0.0012618
GrandMaster,25,10,900,178.8342,0.00070571
Silver,31,12,450,47.6664,0.00053045
Platinum,24,28,1000,132.9432,0.00074606
Platinum,22,40,500,73.8462,0.0011195
Gold,24,2,300,75.783,0.00054088
Master,21,10,650,130.2642,0.00067696
Master,26,8,300,120.1956,0.00061413
Bronze,16,20,20,103.0962,0.00090505
Gold,21,24,600,61.4232,0.00063252
Platinum,29,10,520,52.7208,0.00093862
Silver,19,28,200,46.8024,0.00042913
Diamond,29,4,500,90.7992,0.00085519
Platinum,16,24,300,109.1106,0.00084013
Platinum,20,56,800,106.2648,0.00049755
Platinum,23,24,1260,100.0632,0.00097649
Gold,25,4,200,81.8118,0.00050115
Platinum,25,4,110,66.3702,0.00092866
GrandMaster,21,8,400,157.6344,0.00071156
Gold,21,6,235,111.5712,0.00083087
Platinum,20,8,600,93.4368,0.00098254
Diamond,17,10,800,82.1292,0.00090859
Bronze,25,4,350,48.5838,0.00057878
Diamond,18,28,1300,203.2734,0.00079179
Silver,25,12,850,42.8712,0.00056213
Gold,17,8,250,62.5908,0.00074002
Diamond,21,12,600,129.0774,0.0010172
Bronze,25,8,60,53.0832,0.00078662
Silver,16,16,300,74.5758,0.00052326
Diamond,16,16,500,106.7148,0.0024847
Bronze,19,10,50,87.0408,0.00044648
Master,19,42,1000,264.3282,0.0011944
Platinum,18,14,500,151.278,0.001182
Gold,34,8,300,165.5874,0.00129
Platinum,35,16,800,107.0412,0.0014726
Diamond,27,8,1200,77.034,0.00051567
Diamond,16,36,700,90.4704,0.002042
Master,23,20,1000,152.8266,0.0020456
Silver,30,6,80,40.5048,0.00081474
Diamond,18,28,1000,149.7672,0.00078005
Silver,26,16,100,70.9566,0.00055232
Gold,20,10,50,142.1322,0.0020443
Diamond,20,12,900,163.0764,0.0011746
Master,24,10,670,99.3462,0.0011734
Platinum,17,6,100,139.8048,0.0026529
Platinum,19,10,865,101.658,0.0015095
Platinum,26,6,200,114.522,0.001121
Bronze,32,20,750,94.2588,0.0004654
Diamond,16,70,2000,164.7522,0.0020676
Diamond,22,42,800,112.2768,0.0010744
Silver,26,8,500,86.6322,0.0013106
Platinum,21,8,100,116.3022,0.0019111
Platinum,21,10,180,130.4664,0.0017403
Master,21,20,1000,115.8912,0.00082817
Platinum,21,6,450,103.6962,0.00058866
Platinum,18,30,200,105.7266,0.00095461
Platinum,25,8,100,105.6042,0.0011501
Bronze,25,16,60,69.8094,0.00053933
Silver,32,28,110,58.8558,0.00044118
Diamond,18,28,400,173.874,0.0011425
Silver,20,4,400,73.0272,0.0004851
Master,22,20,1200,116.0592,0.00075157
Diamond,17,4,500,150.9036,0.0016548
Platinum,17,6,200,83.7276,0.00071945
Gold,22,12,500,77.8542,0.00075491
Diamond,17,24,400,105.0756,0.0010407
Platinum,21,6,750,86.523,0.00072768
Bronze,27,14,50,58.4136,0.0010114
Silver,24,8,150,67.4424,0.00091329
Platinum,16,50,50,87.1218,0.00079009
Platinum,23,14,500,107.4156,0.00091
Diamond,24,10,330,126.6186,0.0011084
Diamond,23,16,730,152.7624,0.0010201
Platinum,20,14,400,140.3412,0.00067076
Silver,29,8,300,92.841,0.0013027
Platinum,18,36,600,38.028,0.00036109
Bronze,21,16,100,94.9017,0.00016083
Platinum,16,28,500,102.8232,0.0023719
Platinum,23,28,730,104.004,0.001134
Platinum,24,28,600,103.8072,0.001888
Bronze,23,8,60,51.5208,0.00022369
Platinum,16,4,120,111.6846,0.0022172
Diamond,22,24,1000,191.538,0.0015766
Diamond,16,4,275,76.2102,0.00058625
Platinum,19,24,800,119.1048,0.0012444
Gold,19,20,900,59.6868,0.0004085
Gold,24,4,400,64.104,0.0010919
Master,22,20,700,106.3542,0.00088759
Master,22,16,800,150.12,0.0012839
Gold,20,16,200,65.6376,0.00052793
Platinum,21,8,250,62.085,0.00081169
Master,16,24,400,166.2996,0.0015942
Platinum,25,10,1200,108.7014,0.0010046
Diamond,18,20,750,116.6394,0.0012573
Bronze,23,2,200,44.8266,0.00072399
Silver,27,8,200,78.831,0.00085631
Bronze,20,20,300,60.0696,0.00045725
Gold,20,4,500,62.0796,0.00083903
Platinum,18,10,360,89.6916,0.0012669
Platinum,21,16,800,101.9682,0.0014024
Silver,30,6,500,69.9852,0.0002946
Gold,22,20,700,55.029,0.00074945
Gold,20,6,50,139.575,0.0018205
Silver,41,8,250,54.2406,0.00044949
Platinum,22,12,548,104.1408,0.0012792
Diamond,20,10,1000,60.6252,0.00092298
Master,20,10,700,187.1844,0.0024912
Master,21,50,800,173.5944,0.00089777
Gold,16,42,1000,128.6142,0.00056879
Diamond,16,10,730,133.7118,0.0007173
Gold,23,6,500,101.3286,0.00053808
Platinum,20,10,170,82.8816,0.0006112
Bronze,17,20,100,56.5278,0.00082602
Platinum,22,2,300,57.6762,0.0011772
Gold,24,12,100,77.7006,0.00053485
Platinum,16,16,200,61.3074,0.0010433
Master,21,42,1000,139.9986,0.0011456
Diamond,24,12,350,65.2284,0.00086722
Silver,18,8,250,71.3928,0.00042777
Diamond,25,10,900,153.9948,0.0018643
Platinum,26,8,600,93.1122,0.0010927
Bronze,23,10,100,78.1968,0.00038968
Bronze,35,8,350,66.5358,0.0010228
Bronze,20,10,50,38.3322,0.00025917
Platinum,22,6,898,173.5266,0.0022388
Diamond,26,10,600,161.2872,0.001354
Silver,16,10,150,63.261,0.00073206
Diamond,19,4,800,107.1588,0.00099326
Gold,16,14,200,57.9306,0.0008102
Bronze,29,10,500,43.6686,0.00033601
Silver,24,20,750,50.9088,0.00091662
Platinum,18,56,1500,131.3826,0.00094804
Platinum,22,6,400,113.2158,0.00081158
Platinum,28,6,500,71.5008,0.00062279
Diamond,18,24,500,131.898,0.00085465
Diamond,24,8,730,130.6962,0.0019485
Platinum,17,36,1170,115.0944,0.00089784
Master,19,70,600,95.0328,0.00069854
Platinum,23,10,600,125.3988,0.00083438
Diamond,18,24,1000,175.446,0.00087765
Platinum,21,10,200,79.827,0.0013204
Bronze,33,10,750,31.5294,0.00038706
Gold,17,20,800,90.2346,0.00066149
Diamond,22,16,300,99.1626,0.00080481
Platinum,28,12,750,71.3442,0.0019705
Master,24,28,400,114.2724,0.0019552
Master,19,30,1500,196.3764,0.0012763
Platinum,22,24,300,111.3066,0.00059571
Platinum,27,6,400,58.7016,0.0010204
Silver,17,2,70,47.4726,0.00044453
Diamond,26,10,1200,121.2348,0.0010773
Diamond,17,20,450,176.793,0.00067637
Master,17,42,730,115.1928,0.000802
Bronze,20,8,60,76.308,0.0012298
Platinum,20,28,1000,121.9068,0.00053737
Gold,18,28,500,76.083,0.0004937
Platinum,20,6,150,71.274,0.00049612
Gold,24,16,500,76.944,0.00054557
Master,18,14,1260,161.4576,0.0021706
Gold,16,14,730,70.0308,0.00043736
Gold,20,6,220,58.4388,0.0008007
Silver,16,12,500,49.4712,0.00080576
Diamond,21,10,600,103.863,0.00090222
Bronze,18,12,600,83.01,0.00061623
Master,17,12,300,151.2702,0.0011021
Bronze,16,24,500,61.971,0.00055162
Gold,22,10,90,43.3578,0.00067979
Platinum,19,10,200,134.0598,0.00078125
Master,29,20,800,141.6246,0.001269
Platinum,20,28,800,175.8858,0.0011178
Gold,23,20,550,121.3596,0.0010463
Master,20,8,100,115.0548,0.00091562
Gold,18,42,30,95.6886,0.0007764
Silver,19,8,150,38.8008,0.00090672
Platinum,35,8,250,116.2284,0.00060961
Platinum,29,4,180,97.179,0.0018135
Bronze,32,16,650,33.8424,0.00052245
Platinum,24,10,700,108.8166,0.00077086
Platinum,24,18,800,110.7204,0.00085476
Gold,19,12,600,107.3178,0.0012007
Gold,16,16,730,94.1658,0.0011899
Platinum,22,10,500,73.2666,0.00072355
Master,26,8,800,186.1506,0.00075031
Platinum,21,10,200,105.3642,0.00091319
Master,21,28,800,65.373,0.00050331
Silver,24,20,1148,80.0532,0.0010851
Gold,41,14,800,77.6472,0.0015263
Platinum,23,20,700,109.6242,0.0024064
Master,23,16,200,167.2536,0.0018913
Gold,22,10,500,127.4898,0.00099771
Silver,19,20,600,98.4516,0.0013115
Gold,28,24,105,60.4554,0.00036093
Master,19,14,700,122.034,0.0015571
Silver,16,4,120,88.0692,0.00072323
Gold,18,12,320,102.1146,0.00068994
Platinum,24,4,750,107.8302,0.0014563
Diamond,16,10,120,144.9648,0.00075913
Platinum,19,24,500,93.426,0.0005266
Diamond,24,12,240,67.2102,0.00062488
Bronze,16,16,420,40.1292,0.00027621
Silver,22,6,100,73.5396,0.00071072
Silver,18,14,230,64.9608,0.00063939
Silver,17,24,75,72.2862,0.00065375
Diamond,16,28,500,144.5394,0.00098072
Silver,21,10,730,66.3108,0.00074502
Gold,23,10,320,121.5924,0.0018345
Gold,22,20,750,59.454,0.00045997
Platinum,24,6,300,68.0904,0.00099899
Master,24,112,1500,139.7598,0.00075605
Bronze,25,10,100,30.1632,0.00051886
Diamond,16,56,500,163.9902,0.00072977
Silver,19,6,40,58.515,0.00041764
Silver,26,6,40,64.0362,0.000948
Diamond,17,16,600,124.8372,0.0011258
Platinum,25,28,800,110.4102,0.0016711
Gold,17,6,50,80.1372,0.00070721
Diamond,21,12,500,167.6562,0.0018806
Master,23,28,1000,208.9488,0.00080559
Gold,23,28,800,123.489,0.0012401
Bronze,20,10,700,66.102,0.00089625
Diamond,21,20,1100,147.7992,0.00064161
Master,18,6,1000,178.2318,0.0019577
Silver,19,8,230,56.637,0.00080939
Platinum,21,12,300,69.5874,0.00077427
Gold,16,8,100,51.4728,0.00052392
Bronze,20,16,450,78.2736,0.0015459
Platinum,36,10,400,73.698,0.00068277
Diamond,22,90,1000,89.6652,0.00098598
Platinum,18,16,400,99.591,0.00091153
Master,17,28,1100,161.1174,0.0009994
Bronze,20,8,500,49.7838,0.00044259
Diamond,17,12,730,147.1488,0.0012106
Bronze,18,24,100,37.9656,0.00039516
Gold,19,6,250,99.2052,0.0010725
Bronze,18,14,30,42.3318,0.00044304
